"Fly Ash (g)",MK (g),"H3PO4 (M)","CA(H2PO4) (M)","KH2PO4 (M)","ADP (M)","Monoaluminum Phosphate (MAP) (M)","Sodium Dihydrogen Phosphate (SDP) (M)","Extra Water (g)",L/S,Al/P Ratio,P/A Ratio,Si/P Ratio,P/Si Ratio,Initial pH,"Curing Time, d","Precalcination Temperature,","Curing Temperature, C","Testing age, d",Compressive Strength_MPa
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,7,0,24,7,5.85
3150,0,0,0,0,1.32,0,0,0,0.3,0,0.128,0,0.088,0,7,0,24,7,9.39
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,7,0,24,7,7.3
2250,0,0,0,0,1.32,0,0,0,0.4,0,0.166,0,0.115,0,7,0,24,7,4.89
1980,0,0,0,0,1.32,0,0,0,0.5,0,0.184,0,0.129,0,7,0,24,7,2.09
2620,0,0,0,0,0.7,0,0,0,0.4,0,0.098,0,0.066,0,14,0,24,14,2.28
2620,0,0,0,0,0.9,0,0,0,0.4,0,0.114,0,0.078,0,14,0,24,14,4.4
2620,0,0,0,0,1.11,0,0,0,0.4,0,0.131,0,0.09,0,14,0,24,14,7
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,14,0,24,14,12.5
3150,0,0,0,0,1.32,0,0,0,0.3,0,0.128,0,0.088,0,14,0,24,14,20.89
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,14,0,24,14,13.89
2250,0,0,0,0,1.32,0,0,0,0.4,0,0.166,0,0.115,0,14,0,24,14,9
1980,0,0,0,0,1.32,0,0,0,0.5,0,0.184,0,0.129,0,14,0,24,14,4.87
2620,0,0,0,0,0.7,0,0,0,0.4,0,0.098,0,0.066,0,28,0,24,28,2.5
2620,0,0,0,0,0.9,0,0,0,0.4,0,0.114,0,0.078,0,28,0,24,28,8
2620,0,0,0,0,1.11,0,0,0,0.4,0,0.131,0,0.09,0,28,0,24,28,12
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,28,0,24,28,17.25
3150,0,0,0,0,1.32,0,0,0,0.3,0,0.128,0,0.088,0,28,0,24,28,28
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,28,0,24,28,18.06
2250,0,0,0,0,1.32,0,0,0,0.4,0,0.166,0,0.115,0,28,0,24,28,17.86
1980,0,0,0,0,1.32,0,0,0,0.5,0,0.184,0,0.129,0,28,0,24,28,18.88
2620,0,0,0,0,0.7,0,0,0,0.4,0,0.098,0,0.066,0,60,0,24,60,2.4
2620,0,0,0,0,0.9,0,0,0,0.4,0,0.114,0,0.078,0,60,0,24,60,8.75
2620,0,0,0,0,1.11,0,0,0,0.4,0,0.131,0,0.09,0,60,0,24,60,12
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,60,0,24,60,18
3150,0,0,0,0,1.32,0,0,0,0.3,0,0.128,0,0.088,0,60,0,24,60,35.02
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,60,0,24,60,18.3
2250,0,0,0,0,1.32,0,0,0,0.4,0,0.166,0,0.115,0,60,0,24,60,18.3
1980,0,0,0,0,1.32,0,0,0,0.5,0,0.184,0,0.129,0,60,0,24,60,18.29
2620,0,0,0,0,0.7,0,0,0,0.4,0,0.098,0,0.066,0,90,0,24,90,2.45
2620,0,0,0,0,0.9,0,0,0,0.4,0,0.114,0,0.078,0,90,0,24,90,9
2620,0,0,0,0,1.11,0,0,0,0.4,0,0.131,0,0.09,0,90,0,24,90,22.5
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,90,0,24,90,23.5
3150,0,0,0,0,1.32,0,0,0,0.3,0,0.128,0,0.088,0,90,0,24,90,53.3
2620,0,0,0,0,1.32,0,0,0,0.4,0,0.147,0,0.102,0,90,0,24,90,25.05
2250,0,0,0,0,1.32,0,0,0,0.4,0,0.166,0,0.115,0,90,0,24,90,24.63
1980,0,0,0,0,1.32,0,0,0,0.5,0,0.184,0,0.129,0,90,0,24,90,19.63
100,0,17.19,0,0,0,0,0,0,0.3,0,0,0,0,0,7,0,25,7,1.5
100,0,0,0,0,4.4,0,0,0,0.5,0,0,0,0,0,7,0,25,7,13
100,0,17.19,0,0,4.4,0,0,0,0.4,0,0,0,0,0,7,0,25,7,4
100,0,0,0,0,0,0,10.42,0,0.4,0,0,0,0,0,7,0,25,7,0.9
100,0,17.19,0,0,0,0,10.42,0,0.3,0,0,0,0,0,7,0,25,7,2.5
100,0,0,0,17.18,0,0,0,29.2,0.2,0,0,0,0,0,7,0,25,7,0
100,0,17.19,0,17.18,0,0,0,15.6,0.3,0,0,0,0,0,7,0,25,7,1
100,0,17.19,0,0,0,0,0,0,0.3,0,0,0,0,0,14,0,25,14,2.5
100,0,0,0,0,4.4,0,0,0,0.5,0,0,0,0,0,14,0,25,14,24.5
100,0,17.19,0,0,4.4,0,0,0,0.4,0,0,0,0,0,14,0,25,14,8.5
100,0,0,0,0,0,0,10.42,0,0.4,0,0,0,0,0,14,0,25,14,0.9
100,0,17.19,0,0,0,0,10.42,0,0.3,0,0,0,0,0,14,0,25,14,4.5
100,0,0,0,17.18,0,0,0,29.2,0.2,0,0,0,0,0,14,0,25,14,0
100,0,17.19,0,17.18,0,0,0,15.6,0.3,0,0,0,0,0,14,0,25,14,2
100,0,17.19,0,0,0,0,0,0,0.3,0,0,0,0,0,28,0,25,28,4.9
100,0,0,0,0,4.4,0,0,0,0.5,0,0,0,0,0,28,0,25,28,27.5
100,0,17.19,0,0,4.4,0,0,0,0.4,0,0,0,0,0,28,0,25,28,18
100,0,0,0,0,0,0,10.42,0,0.4,0,0,0,0,0,28,0,25,28,1.1
100,0,17.19,0,0,0,0,10.42,0,0.3,0,0,0,0,0,28,0,25,28,5
100,0,0,0,17.18,0,0,0,29.2,0.2,0,0,0,0,0,28,0,25,28,0
100,0,17.19,0,17.18,0,0,0,15.6,0.3,0,0,0,0,0,28,0,25,28,1.9
100,0,17.19,0,0,0,0,0,0,0.3,0,0,0,0,0,56,0,25,56,9
100,0,0,0,0,4.4,0,0,0,0.5,0,0,0,0,0,56,0,25,56,27
100,0,17.19,0,0,4.4,0,0,0,0.4,0,0,0,0,0,56,0,25,56,25.3
100,0,0,0,0,0,0,10.42,0,0.4,0,0,0,0,0,56,0,25,56,1.39
100,0,17.19,0,0,0,0,10.42,0,0.3,0,0,0,0,0,56,0,25,56,5.21
100,0,0,0,17.18,0,0,0,29.2,0.2,0,0,0,0,0,56,0,25,56,0
100,0,17.19,0,17.18,0,0,0,15.6,0.3,0,0,0,0,0,56,0,25,56,1.99
0,571.43,17.19,0,0,0,0,0,0,2.9,0,0,1.75,0,0,1,700,60,7,3.3
0,500,17.19,0,0,0,0,0,0,3.4,0,0,2,0,0,1,700,60,7,4.5
0,444.44,17.19,0,0,0,0,0,0,3.8,0,0,2.25,0,0,1,700,60,7,5
0,400,17.19,0,0,0,0,0,0,4.2,0,0,2.5,0,0,1,700,60,7,4.7
0,363.64,17.19,0,0,0,0,0,0,4.6,0,0,2.75,0,0,1,700,60,7,4.1
0,333.33,17.19,0,0,0,0,0,0,5.1,0,0,3,0,0,1,700,60,7,3.89
0,571.43,17.19,0,0,0,0,0,0,2.9,0,0,1.75,0,0,1,700,60,14,3.59
0,500,17.19,0,0,0,0,0,0,3.4,0,0,2,0,0,1,700,60,14,4.68
0,444.44,17.19,0,0,0,0,0,0,3.8,0,0,2.25,0,0,1,700,60,14,5.8
0,400,17.19,0,0,0,0,0,0,4.2,0,0,2.5,0,0,1,700,60,14,5.5
0,363.64,17.19,0,0,0,0,0,0,4.6,0,0,2.75,0,0,1,700,60,14,4.2
0,333.33,17.19,0,0,0,0,0,0,5.1,0,0,3,0,0,1,700,60,14,4.1
0,571.43,17.19,0,0,0,0,0,0,2.9,0,0,1.75,0,0,1,700,60,28,4.19
0,500,17.19,0,0,0,0,0,0,3.4,0,0,2,0,0,1,700,60,28,5.3
0,444.44,17.19,0,0,0,0,0,0,3.8,0,0,2.25,0,0,1,700,60,28,6.6
0,400,17.19,0,0,0,0,0,0,4.2,0,0,2.5,0,0,1,700,60,28,5.75
0,363.64,17.19,0,0,0,0,0,0,4.6,0,0,2.75,0,0,1,700,60,28,4.49
0,333.33,17.19,0,0,0,0,0,0,5.1,0,0,3,0,0,1,700,60,28,4.29
